Date,Open,High,Low,Close,Volume,Trend,Nextdaytrend
300617,943.99,945,929.61,929.68,2287662,0,0
290617,951.35,951.66,929.6,937.82,3206674,0,1
280617,950.66,963.24,936.16,961.01,2745568,1,0
270617,961.6,967.22,947.09,948.09,2443602,0,0
260617,990,993.99,970.33,972.09,1517912,0,1
230617,975.5,986.62,974.46,986.09,1563985,1,0
220617,976.87,980.5,973.31,976.62,1009476,0,1
210617,970.79,979.67,969.16,978.59,1161607,1,0
200617,975.31,980.79,968.2,968.99,1297287,0,1
190617,969.65,979.3,968.2,975.22,1468837,1,1
160617,957.91,959.95,948.7,958.62,2559207,1,1
150617,948.02,960.68,940.37,960.18,2427639,1,0
140617,975.5,979.7,959.51,967.93,1505486,0,0
130617,972.04,977.91,962.01,970.5,2005356,0,1
120617,958.72,968,936.8,961.81,4202109,1,0
90617,1005.49,1005.5,953.37,970.12,3647857,0,1
80617,1004.23,1005.6,996.62,1004.28,1687925,1,1
70617,998.82,1003.91,995.81,1001.59,1374097,1,0
60617,1003.31,1008.61,994.8,996.68,1552114,0,1
50617,997.89,1007.4,995.45,1003.88,1378916,1,1
20617,988.59,996.48,987.07,996.12,1735469,1,0
10617,990.96,993.14,981.29,988.29,1306384,0,0
310517,996.21,999.6,981.68,987.09,1724095,0,1
300517,992.5,997.62,991.36,996.17,1516685,1,1
260517,992,996.39,987.36,993.27,1636416,1,1
250517,979,995.78,977.82,991.86,1954149,1,1
240517,975.26,978.12,971.63,977.61,1142488,1,1
230517,969.96,974.51,964.5,970.55,1545421,1,1
220517,957,964.82,956.56,964.07,1387392,1,1
190517,952.82,959.56,952,954.65,1360299,1,1
180517,943.2,954.18,941.27,950.5,1800465,1,0
170517,959.7,960.99,940.06,942.17,2449058,0,1
160517,963.55,965.9,960.35,964.61,1101544,1,1
150517,955.29,962.7,952.82,959.22,1337697,1,0
120517,957.85,957.98,952.06,955.14,1214851,0,1
110517,951.29,957.99,948.61,955.89,1031093,1,0
100517,956.22,956.71,949.84,954.84,1145969,0,0
90517,961.33,962.2,954.4,956.71,1687942,0,1
80517,947.45,960.99,947.4,958.69,1876690,1,0
50517,956.72,958.44,948.1,950.28,1615548,0,1
40517,950.29,959.14,947.37,954.72,1938260,1,1
30517,936.05,950.2,935.21,948.45,1824759,1,1
20517,933.27,942.98,931,937.09,1751292,1,1
10517,924.15,935.82,920.8,932.82,2327782,1,0
280417,929,935.9,923.22,924.52,3845857,0,1
270417,890,893.38,887.18,891.44,2342303,1,0
260417,891.39,892.99,885.15,889.14,1323297,0,1
250417,882.26,892.25,879.28,888.84,2038032,1,1
